code,name,market,catagory,type
600613,神奇制药,A股,沪深A股,股票
300844,山水比德,A股,沪深A股,股票
600797,浙大网新,A股,沪深A股,股票
001227,兰州银行,A股,沪深A股,股票
002037,保利联合,A股,沪深A股,股票
000910,大亚圣象,A股,沪深A股,股票
601066,中信建投,A股,沪深A股,股票
600663,陆家嘴,A股,沪深A股,股票
603567,珍宝岛,A股,沪深A股,股票
000686,东北证券,A股,沪深A股,股票
300898,熊猫乳品,A股,沪深A股,股票
601668,中国建筑,A股,沪深A股,股票
002572,索菲亚,A股,沪深A股,股票
002280,联络互动,A股,沪深A股,股票
600477,杭萧钢构,A股,沪深A股,股票
002046,国机精工,A股,沪深A股,股票
600645,中源协和,A股,沪深A股,股票
688102,斯瑞新材,A股,沪深A股,股票
603898,好莱客,A股,沪深A股,股票
601601,中国太保,A股,沪深A股,股票
002669,康达新材,A股,沪深A股,股票
002961,瑞达期货,A股,沪深A股,股票
600926,杭州银行,A股,沪深A股,股票
000728,国元证券,A股,沪深A股,股票
600641,万业企业,A股,沪深A股,股票
300238,冠昊生物,A股,沪深A股,股票
002415,海康威视,A股,沪深A股,股票
300109,新开源,A股,沪深A股,股票
600327,大东方,A股,沪深A股,股票
001914,招商积余,A股,沪深A股,股票
688787,海天瑞声,A股,沪深A股,股票
002293,罗莱生活,A股,沪深A股,股票
603369,今世缘,A股,沪深A股,股票
601127,赛力斯,A股,沪深A股,股票
301129,瑞纳智能,A股,沪深A股,股票
001330,博纳影业,A股,沪深A股,股票
688519,南亚新材,A股,沪深A股,股票
300006,莱美药业,A股,沪深A股,股票
688065,凯赛生物,A股,沪深A股,股票
002627,三峡旅游,A股,沪深A股,股票
603216,梦天家居,A股,沪深A股,股票
002524,光正眼科,A股,沪深A股,股票
002589,瑞康医药,A股,沪深A股,股票
300802,矩子科技,A股,沪深A股,股票
600063,皖维高新,A股,沪深A股,股票
002932,明德生物,A股,沪深A股,股票
603986,兆易创新,A股,沪深A股,股票
605303,园林股份,A股,沪深A股,股票
603138,海量数据,A股,沪深A股,股票
601800,中国交建,A股,沪深A股,股票
000710,贝瑞基因,A股,沪深A股,股票
000729,燕京啤酒,A股,沪深A股,股票
603311,金海高科,A股,沪深A股,股票
688315,诺禾致源,A股,沪深A股,股票
002404,嘉欣丝绸,A股,沪深A股,股票
600155,华创阳安,A股,沪深A股,股票
300732,设研院,A股,沪深A股,股票
603300,华铁应急,A股,沪深A股,股票
601058,赛轮轮胎,A股,沪深A股,股票
300595,欧普康视,A股,沪深A股,股票
600814,杭州解百,A股,沪深A股,股票
